nom_site,adresse,cp,ville,adresse_complete,geo_coordinates,arrondissement
Bibliothèque Marguerite Audoux,"8-12, Rue Portefoin",75003,PARIS,"8-12, Rue Portefoin 75003 PARIS France","48.863602, 2.36003",03
Bibliothèque Vandamme,"80, Avenue Du Maine",75014,PARIS,"80, Avenue Du Maine 75014 PARIS France","48.838612, 2.32229",14
Bourse Du Travail,"3, Rue Du Chateau D'Eau",75010,PARIS,"3, Rue Du Chateau D'Eau 75010 PARIS France","48.86911, 2.36215",10
Centre d'Animation Espace Beaujon,"208, Rue Du Faubourg Saint Honore",75008,PARIS,"208, Rue Du Faubourg Saint Honore 75008 PARIS France","48.87532, 2.30453",08
Centre Sportif Suzanne Lenglen,"2, Rue Louis Armand",75015,PARIS,"2, Rue Louis Armand 75015 PARIS France","48.833141, 2.27663",15
Discothèque des Halles,"8, Porte Saint Eustache",75001,PARIS,"8, Porte Saint Eustache 75001 PARIS France","48.862759, 2.345275",01
Esplanade Des Invalides,"1, Rue Paul",75007,PARIS,"1, Rue Paul 75007 PARIS France","48.85249, 2.36064",07
Jardin Bataclan,"102, Boulevard Richard Lenoir",75011,PARIS,"102, Boulevard Richard Lenoir 75011 PARIS France","48.86343, 2.37178",11
Jardin D Eole 1,Rue D Aubervillier,75018,PARIS,Rue D Aubervillier 75018 PARIS France,"48.89164, 2.368965",18
Jardin Gare De Charonne,"59, Boulevard Davout",75020,PARIS,"59, Boulevard Davout 75020 PARIS France","48.852329, 2.41075",20
Jardin Hospice Debrousse,"148, Rue De Bagnolet",75020,PARIS,"148, Rue De Bagnolet 75020 PARIS France","48.862308, 2.40628",20
Jardin Casque D'Or,"20, Rue Des Haies",75020,PARIS,"20, Rue Des Haies 75020 PARIS France","48.852741, 2.40048",20
Mairie du 17E Arrondissement,"16, Rue Des Batignolles",75017,PARIS,"16, Rue Des Batignolles 75017 PARIS France","48.884251, 2.32202",17
Mairie du 7E Arrondissement,"116, Rue De Grenelle",75007,PARIS,"116, Rue De Grenelle 75007 PARIS France","48.856819, 2.31999",07
Maison des Associations Du 13eme,"13, Rue Caillaux",75013,PARIS,"13, Rue Caillaux 75013 PARIS France","48.82264, 2.36109",13
Maison des Associations Du 14eme,"22, Rue Deparcieux",75014,PARIS,"22, Rue Deparcieux 75014 PARIS France","48.835579, 2.32588",14
Maison des Associations Du 18eme,"15, Passage Ramey",75018,PARIS,"15, Passage Ramey 75018 PARIS France","48.890041, 2.3474",18
Maison des Associations Du 09eme,"54, Rue Pigalle",75009,PARIS,"54, Rue Pigalle 75009 PARIS France","48.88224, 2.33697",09
Parc Champs De Mars,Avenue Charles Risler,75007,PARIS,Avenue Charles Risler 75007 PARIS France,"48.854603, 2.300178",07
Parc des Buttes Chaumont (Carrel),"4, Place Armand Carrel",75019,PARIS,"4, Place Armand Carrel 75019 PARIS France","48.88274, 2.38249",19
Parc des Buttes Chaumont (Fessard),"3, Rue Botzaris",75019,PARIS,"3, Rue Botzaris 75019 PARIS France","48.878045, 2.381454",19
Parc Georges Brassens (rotonde),"2, Place Jacques Marette",75015,PARIS,"2, Place Jacques Marette 75015 PARIS France","48.832722, 2.30069",15
Parc Montsouris,"2, Rue Gazan",75014,PARIS,"2, Rue Gazan 75014 PARIS France","48.82452, 2.33994",14
Jardin De La Vallee Suisse,Avenue Edouard Tuck,75008,PARIS,Avenue Edouard Tuck 75008 PARIS France,"48.865398, 2.317336",08
Promenade Des Champs Elysees,Avenue Edouard Tuck,75008,PARIS,Avenue Edouard Tuck 75008 PARIS France,"48.865398, 2.317336",08
Promenade Plantee,Allee Vivaldi,75012,PARIS,Allee Vivaldi 75012 PARIS France,"48.841576, 2.391099",12
Square De L'Ave Maria,"30, Quai Des Celestins",75004,PARIS,"30, Quai Des Celestins 75004 PARIS France","48.85265, 2.35964",04
Square Des Batignolles,Place Charles Fillion,75017,PARIS,Place Charles Fillion 75017 PARIS France,"48.887608, 2.317353",17
Square Des Epinettes,Rue Maria Deraismes,75017,PARIS,Rue Maria Deraismes 75017 PARIS France,"48.894337, 2.32722",17
Square Du Chanoine Viollet,"72, Rue Du Moulin Vert",75014,PARIS,"72, Rue Du Moulin Vert 75014 PARIS France","48.831139, 2.32025",14
Square Edouard Vaillant,Rue Belgrand,75020,PARIS,Rue Belgrand 75020 PARIS France,"48.8647, 2.40367",20
Square Felix Desruelles,"168 Bis, Boulevard Saint Germain",75006,PARIS,"168 Bis, Boulevard Saint Germain 75006 PARIS France","48.853359, 2.33514",06
