nom_site,adresse,cp,ville,adresse_complete,geo_coordinates,arrondissement
Square Ozanam,Boulevard Du Montparnasse,75006,PARIS,Boulevard Du Montparnasse 75006 PARIS France,"48.845009, 2.320318",06
Square Paul Langevin,20 Rue Monge,75005,PARIS,20 Rue Monge 75005 PARIS France,"48.848438, 2.3502",05
Square Rene Legall,"43, Rue Corvisart",75013,PARIS,"43, Rue Corvisart 75013 PARIS France","48.831082, 2.348069",13
Square Saint Eloi,"15, Rue Sainte Claire Deville",75012,PARIS,"15, Rue Sainte Claire Deville 75012 PARIS France","48.844212, 2.38748",12
Square Saint Medard,32 Rue Censier,75005,PARIS,32 Rue Censier 75005 PARIS France,"48.839653, 2.350873",05
Square Sarah Berhnardt,Rue De Lagny,75020,PARIS,Rue De Lagny 75020 PARIS France,"48.84898, 2.407761",20
Square Violet,Place Violet,75015,PARIS,Place Violet 75015 PARIS France,"48.844677, 2.290432",15
Maison des Associations Du 17eme,"25, Rue Lantiez",75017,PARIS,"25, Rue Lantiez 75017 PARIS France","48.895012, 2.3238",17
TOUR ST JACQUES,88 RUE DE RIVOLI,75004,PARIS,88 RUE DE RIVOLI 75004 PARIS France,"48.85815, 2.34929",04
PISCINE GEORGES VALLEREY,148 AVENUE GAMBETTA,75020,PARIS,148 AVENUE GAMBETTA 75020 PARIS France,"48.875439, 2.40584",20
MAISON DES INITIATIVES,3 RUE JEAN ANTOINE DE BAIF,75013,PARIS,3 RUE JEAN ANTOINE DE BAIF 75013 PARIS France,"48.827862, 2.38436",13
